timestamp,ear,eye_open,total_blinks,blink_rate,cognitive,attention,fatigue,stress
2025-12-31T10:39:34,0.2339,0.559,11,6.01,45.8,62.9,14.3,26.9
2025-12-31T10:39:35,0.2271,0.514,11,5.22,44.5,64.1,14.6,25.7
2025-12-31T10:39:36,0.2016,0.344,11,5.13,44.4,61.4,16.6,26.3
2025-12-31T10:39:37,0.2687,0.791,11,5.04,44.3,73.6,10.0,25.0
2025-12-31T10:39:38,0.3009,1.0,11,6.19,46.3,76.2,10.0,26.1
2025-12-31T10:39:39,0.2644,0.763,11,6.04,46.1,69.8,10.2,25.0
2025-12-31T10:39:40,0.2395,0.597,11,5.89,45.9,65.3,13.1,26.5
2025-12-31T10:39:41,0.2381,0.587,11,5.74,45.7,63.4,14.7,26.1
2025-12-31T10:39:42,0.2585,0.723,11,5.61,45.6,69.2,11.0,25.0
2025-12-31T10:39:43,0.2465,0.643,11,5.47,45.4,65.3,13.8,25.5
2025-12-31T10:39:44,0.2293,0.529,11,5.35,45.2,61.9,16.3,32.0
2025-12-31T10:39:45,0.1958,0.979,11,5.24,45.1,78.1,10.0,25.0
2025-12-31T10:39:46,0.1896,0.948,11,5.12,45.0,78.4,10.0,25.5
2025-12-31T10:39:47,0.2555,0.703,11,5.01,44.8,69.5,11.8,28.6
2025-12-31T10:39:48,0.185,0.925,11,4.91,44.7,78.8,10.0,27.9
2025-12-31T10:39:49,0.172,0.86,11,4.8,44.6,74.8,10.0,25.6
2025-12-31T10:39:50,0.2292,0.528,11,4.71,44.5,64.2,15.9,30.1
2025-12-31T10:39:51,0.2359,0.573,11,4.62,44.4,67.6,13.8,26.1
2025-12-31T10:39:52,0.246,0.64,11,4.53,44.3,68.0,13.6,25.1
2025-12-31T10:39:53,0.2258,0.506,11,4.44,44.2,66.5,14.9,25.0
2025-12-31T10:39:54,0.2335,0.557,11,4.36,44.2,68.0,14.0,25.0
2025-12-31T10:39:55,0.2511,0.674,11,4.28,44.1,71.4,11.8,25.0
2025-12-31T10:39:56,0.2355,0.57,11,4.21,44.0,67.0,15.0,26.4
2025-12-31T10:39:57,0.2281,0.521,11,4.13,43.9,68.9,13.8,25.0
